run_id,model_name,metric_name,phase,mean,var
986a3d0fb1f7418a8c7efa53cd34c3f0,resnet34_add_6_imagenet,loss,downstream,50.898750939425895,1252092.231239293
c9edec41b7fd43b0ac2451ba77d331c3,resnet34_add_5_imagenet,loss,stitching,13.414540106229003,5621.99194542164
c9edec41b7fd43b0ac2451ba77d331c3,resnet34_add_5_imagenet,loss,downstream,58.39770518674337,1682001.295386774
ff2ba7f76180478c82e9d2fc66c874cc,resnet34_add_10_imagenet,loss,stitching,36.80887382463428,788303.8270938566
ff2ba7f76180478c82e9d2fc66c874cc,resnet34_add_10_imagenet,loss,downstream,86.99899088343845,4791226.122325034
81cd81533e3c4f7e85cd9c58943e6447,resnet34_add_9_imagenet,loss,stitching,40.4583721120915,1310588.2480282537
81cd81533e3c4f7e85cd9c58943e6447,resnet34_add_9_imagenet,loss,downstream,49.08995798255085,2414153.8410583683
ccc9bb9e1d9945bd91fb1b71c827d9cc,resnet34_add_11_imagenet,loss,stitching,32.054233725744204,173758.20939893572
ccc9bb9e1d9945bd91fb1b71c827d9cc,resnet34_add_11_imagenet,loss,downstream,130.30464321527097,14361836.079727167
9e4fcd6b9c38402184df324e111e73f0,resnet34_add_9_imagenet,loss,stitching,29.36368178610202,147456.14539778614
9e4fcd6b9c38402184df324e111e73f0,resnet34_add_9_imagenet,loss,downstream,70.86012409724066,5137162.688770296
